school,zip code,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
purdue university north central campus,46391,57.1,53.6,50,76.2,59.5,40.5,59.5,56.63
university of sourn mississippi,39406,57.1,62.5,63.1,67.9,60.7,58.3,61.9,61.64
university of nebraska omaha,68182,57.1,62.5,75,77.4,69,58.3,61.9,65.89
marist college,12601,57.1,71.4,59.5,76.2,61.9,47.6,69,63.24
oklahoma baptist university,73072,57.1,71.4,40.5,57.1,78.6,42.9,57.1,57.81
dakota state university,57049,57.1,78.6,64.3,83.3,69,66.7,71.4,70.06
texas a&m university texarkana,75503,57.1,57.1,33.3,42.9,61.9,50,33.3,47.94
saint leo university,33574,56.9,62.5,62.5,68.1,81.9,41.7,65.2,62.69
gustavus adolphus college,56082,56.9,68.8,65.3,81.9,81.9,48.6,76.4,68.54
saint olaf college,55057,56.9,62.5,63.9,81.9,70.8,65.3,72.2,67.64
kent state university main campus,44242,56.7,68.6,70.6,70.9,65.6,59.2,69.5,65.87
illinois state university,61761,56.7,65,62.2,65.6,80,68.9,60,65.49
davenport university grand rapids campus,49504,56.7,67.5,56.7,66.7,68.3,63,55,61.99
university of dayton,45469,56.7,72.5,62.5,65,75,65.8,65,66.07
university of central florida,32816,56.3,75.3,74.9,66.4,64.4,50.5,72.1,65.7
university of alabama in huntsville,35899,56.3,71.9,60.4,79.2,64.6,54.2,60.4,63.86
university of illinois chicago,60607,56.3,53.1,53.1,43.8,43.8,35.4,32.3,45.4
hendrix college,72032,56.1,77.5,80.3,87.9,83.3,69.7,87.9,77.53
georgia sourn university,31419,56.1,59.1,62.1,53.3,69.7,43.9,60.6,57.83
jacksonville state university,36265,56,76.9,63.1,63.1,59.5,53.6,67.9,62.87
university of nebraska lincoln,68588,56,64.3,73.8,77.4,58.3,49.4,67.9,63.87
loyola university chicago,60660,55.6,62.5,56.9,50,59.7,52.8,66.7,57.74
olivet nazarene university,60954,55.6,72.2,57.4,77.8,75.9,63,66.7,66.94
lur college,60153,55.6,75,57.4,75.9,74.1,51.9,70.4,65.76
gordon college,01945,55.6,82.5,68.5,93.8,88.9,81.5,75.9,78.1
hope college,49423,55.6,72.2,66.7,72.9,75.9,72.2,66.7,68.89
university of michigan dearborn,48128,55.6,61.1,55.6,70.4,55.6,42.6,50,55.84
seton hall university,07079,55.6,52.8,59.3,51.9,53.7,31.5,61.1,52.27
oregon state university,97331,55.3,82,79.3,80,58.7,53.3,78,69.51
california state polytechnic university pomona,91768,55.2,70.3,68.8,62.5,70.8,53.1,61.5,63.17
suny college buffalo,14222,55.1,65.4,66.7,56.4,57.7,47.4,51.3,57.14
california state university los angeles,90032,55,52.5,60,71.7,66.7,51.7,50,58.23
grinnell college,50112,55,72.5,66.7,85,81.7,55,70,69.41
college of wooster,44691,55,65,63.3,71.7,85,63.3,75,68.33
university of north texas,76203,54.8,69.4,74.2,66.7,68.8,54.8,64.5,64.74
colorado college,80903,54.8,75,61.9,81,76.2,66.7,73.8,69.91
fairfield university,06824,54.8,57.1,69,71.4,71.4,57.1,69,64.26
university of illinois springfield,62703,54.8,46.4,69,83.3,78.6,69,54.8,65.13
towson university,21252,54.8,66.1,69,53.6,70.2,63.1,65.5,63.19
kettering university,48504,54.8,50,45.2,26.2,64.3,54.8,45.2,48.64
university of minnesota morris,56267,54.8,75,45.2,88.1,83.3,54.8,38.1,62.76
university of mississippi,38677,54.8,68.3,70,80,61.1,51.1,83.3,66.94
creighton university,68178,54.8,78.6,54.8,64.3,59.5,45.2,61.9,59.87
manhattan university,10471,54.8,71.4,54.8,64.3,71.4,52.4,61.9,61.57
pennsylvania state univ penn st worthington scrntn,18512,54.8,57.1,57.1,73.8,64.3,66.7,59.5,61.9
saint vincent college,15650,54.8,75,35.7,66.7,66.7,,81,63.32
