Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Average Net Price (Public)_1,Average Net Price (Private)_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3
30030,agnes scott college,decatur,GA,21.0,9149.0,1296.0,0.6731,0.647321428571,,24224.0,60585.0,26749.0,50997.0,37600.0,453,GA,B+,99400.0,1217,Suburban,small,"Located outside of Atlanta, GA, Agnes Scott College is an innovative women’s college with an experiential learning-based liberal arts core. The college offers close to 40 undergraduate majors, as well as programs in pre-health and pre-law. Psychology, biology and neuroscience are among the popular programs. Agnes Scott is part of the Atlanta Regional Council for Higher Education institution, allowing students to cross-register at any of the 18 other member colleges. Students take advantage of hands-on experiences at Agnes Scott; all first-year students engage in global immersion as part of the lliberal arts curriculum, and about half study abroad again. On average, 70% of students complete an internship and 36% are involved in research. The tight-knit community comes together through its 60 student organizations and wealth of traditions, including the sophomore ring ceremony. More than 80% of students are involved in community service. As a women’s college, Agnes Scott admits students who were assigned female at birth, as well as those who were assigned male or female at birth but who now identify as female, transgender, agender, gender fluid or non-binary. New for Fall 2022, all incoming students will receive the Agnes Assurance Scholarship, worth $22,000 annually, or a merit scholarship in a higher amount up to $26,000 annually. The college also offers awards covering the cost of attendance through Presidential Scholarships, and for Hispanic students through the Goizueta Scholarship.",agnes-scott-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,10348553.0,100.0,100.0,59.5,75.0,54.8,88.1,76.2,52.4,90.5,70.93
29829,aiken technical college,graniteville,SC,21.0,6442.0,,,0.18485237484,5350.0,,12798.0,12250.0,35074.0,28900.0,,,,,,,,,,,,,,,,,,,,,,,
10019,ailey school,new york,NY,11.0,,,0.4918,0.694444444444,,31130.0,38671.0,17500.0,26321.0,,,,,,,,,,,,,,,,,,,,,,,,
80634,aims community college,greeley,CO,12.0,8066.0,,,0.320037986705,9535.0,,14478.0,6844.0,39732.0,34800.0,,,,,,,,,,,,,,,,,,,,,,,
45433,air force institute of technology graduate school of engineering&management,wright-patterson afb,OH,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35762,alabama a&m university,normal,AL,12.0,8610.0,947.0,0.6622,0.222366710013,14559.0,,23751.0,31000.0,31992.0,30600.0,,,,,,,,,,,,,,,,48.5,70.5,60.6,62.1,63.6,50.0,50.0,57.9
35762,alabama a&m university,normal,AL,12.0,8610.0,947.0,0.6622,0.222366710013,14559.0,,23751.0,31000.0,31992.0,30600.0,,,,,,,,,,,,,,,,48.5,70.5,60.6,62.1,63.6,50.0,50.0,57.9
36303,alabama college of osteopathic medicine,dothan,AL,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36545,alabama school of nail technology&cosmetology,jackson,AL,43.0,,,,,,18819.0,,16500.0,,,,,,,,,,,,,,,,,,,,,,,,,
36571,alabama school of nail technology&cosmetology   saraland,saraland,AL,,,,,,,,,16500.0,,,,,,,,,,,,,,,,,,,,,,,,,
