School,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
Tufts University,77.2,69.7,71.9,78.1,73.7,57.0,71.9,71.36
Texas A & M University,77.0,73.5,77.0,83.0,63.7,59.7,71.3,72.17
Pepperdine University,77.0,76.3,70.0,84.2,77.5,56.7,91.0,76.1
Southern Methodist University,77.0,73.9,80.2,73.5,79.5,57.6,83.3,75.0
Wesleyan University,76.7,80.0,81.7,74.1,83.3,63.3,71.7,75.83
Centre College,76.4,75.0,80.6,83.3,94.4,70.8,84.7,80.74
Claremont McKenna College,76.2,85.7,73.8,78.6,71.4,69.0,52.4,72.44
Brigham Young University,76.1,83.1,84.7,95.3,69.6,61.0,81.3,78.73
Lehigh University,76.0,78.1,75.0,65.6,71.9,52.1,83.3,71.71
Wake Forest University,75.8,75.0,77.3,80.3,80.3,66.7,80.3,76.53
Washington University in St Louis,75.6,75.0,78.9,68.9,76.7,62.2,74.4,73.1
"University of California, San Diego",75.3,66.7,79.5,78.1,50.7,45.4,79.9,67.94
"University of Washington, Seattle Campus",74.6,78.2,81.0,69.9,61.8,53.9,82.1,71.64
Drexel University,74.6,61.8,71.9,35.1,42.1,39.5,41.2,52.31
"Indiana University, Bloomington",74.5,75.4,85.0,76.9,59.8,53.8,91.0,73.77
Worcester Polytechnic Institute,74.4,78.8,80.8,71.8,79.5,57.7,74.4,73.91
"Saint Louis University, Main Campus",74.4,78.8,75.6,60.3,71.8,66.7,84.6,73.17
"University of California, Davis",74.2,80.1,78.8,82.2,59.5,51.9,71.2,71.13
College of the Holy Cross,74.2,81.8,77.3,78.8,84.8,69.7,87.9,79.21
Mount Holyoke College,74.2,59.1,69.7,87.9,83.3,63.6,93.6,75.91
Rochester Institute of Technology,74.1,74.1,78.3,77.0,68.8,50.6,49.1,67.43
University of San Diego,73.8,71.4,69.0,71.4,66.7,64.3,81.0,71.09
Colorado School of Mines,73.8,60.7,50.0,78.6,52.4,50.0,52.4,59.7
Valparaiso University,73.8,76.8,73.8,85.7,86.9,73.8,72.6,77.63
"Pratt Institute, Main",73.8,50.0,42.9,31.0,47.6,35.7,59.5,48.64
"University of California, Santa Barbara",73.6,81.9,74.1,64.8,59.7,54.2,87.5,70.83
"University of Missouri, Rolla",73.5,73.5,66.7,75.5,73.5,60.8,48.0,67.36
"Ohio State University, Main Campus",73.5,75.0,80.1,62.0,59.6,59.3,71.9,68.77
North Carolina A&T State University,73.3,75.0,76.7,61.7,73.3,73.3,75.0,72.61
Boston University,73.3,67.0,77.8,68.5,61.5,52.2,58.9,65.6
University of Kansas Main Campus,73.0,78.6,79.8,76.6,63.9,50.0,86.1,72.57
Virginia Military Institute,72.9,75.0,47.9,85.4,66.7,43.8,52.1,63.4
Washington and Lee University,72.9,59.4,58.3,85.4,75.0,60.4,89.6,71.57
Clemson University,72.7,72.7,74.2,78.8,71.2,58.3,79.5,72.49
Auburn University Main Campus,72.4,79.8,74.7,76.3,64.1,59.0,85.3,73.09
Michigan Technological University,72.4,71.8,72.4,92.2,64.1,55.7,78.6,72.46
Michigan State University,72.4,79.5,80.1,71.2,63.9,54.6,82.6,72.04
SUNY College at Geneseo,72.2,78.3,66.7,80.0,74.4,58.9,75.6,72.3
"Rutgers University, New Brunswick",72.0,70.3,77.3,53.4,54.0,45.1,60.5,61.8
Case Western Reserve University,71.7,67.4,75.4,45.7,75.4,42.8,54.3,61.81
Bellarmine University,71.7,62.5,65.0,78.3,73.3,71.7,71.7,70.6
California Baptist University,71.4,82.1,61.9,85.7,73.8,66.7,90.5,76.01
Bentley College,71.4,67.9,61.9,69.0,73.8,61.9,78.6,69.21
Sarah Lawrence College,71.4,64.3,50.0,76.2,83.3,71.4,76.2,70.4
Malone College,71.4,75.0,66.7,90.5,88.1,52.4,76.2,74.33
South Dakota School of Mines and Technology,71.4,71.4,52.4,78.6,69.0,50.0,59.5,64.61
DePaul University,71.3,68.1,71.3,61.1,70.4,55.6,64.8,66.09
Baylor University,71.3,70.8,71.3,71.3,73.1,56.5,80.6,70.7
"University of Maryland, College Park",71.0,68.5,79.7,46.0,60.9,48.2,77.5,64.54
Syracuse University,70.8,67.9,69.5,58.9,64.3,50.0,67.2,64.09
North Carolina State University at Raleigh,70.8,68.1,77.3,68.5,66.7,60.6,57.9,67.13
"University of Minnesota, Twin Cities",70.7,69.6,84.8,64.5,52.2,47.5,73.6,66.13
Louisiana State Univ and Ag and Mech College,70.6,78.3,72.2,67.2,62.8,51.1,79.4,68.8
Bryn Mawr College,70.5,84.6,64.1,85.9,80.8,62.8,93.8,77.5
