Zip Code,school,Type,City,State,State FIPS,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Retention Rate,Student Faculty Ratio
33309,chancellor institute,12,ft laurderdale,FL,12,12.0,3550.0,,0.8961,,,34395.0,,,,,,16.0
19426,salon professional academy,12,collegeville,PA,42,21.0,,,,,,,,,,,,25.0
38053,studio 75 hair academy,12,millington,TN,47,31.0,,,,,,,,,,,,3.0
34667,commercial diving technologies institute,12,hudson,FL,12,21.0,,,,,,36910.0,,,,,,15.0
25081,boone career and technical center,10,foster,WV,54,42.0,,,,,,,,,,,,10.0
40962,edge academy of beauty,12,manchester,KY,21,43.0,,,,,,14491.0,,,,,,20.0
77088,premier barber school,12,houston,TX,48,11.0,,,,,,19562.0,,,,,,25.0
22042,arizona college of nursing falls church,6,falls church,VA,51,21.0,7997.0,,1.0,0.586859688196,,33304.0,38123.0,9500.0,33491.0,24500.0,0.5455,20.0
91761,arizona college of nursing ontario,6,ontario,CA,6,12.0,9302.0,,1.0,0.586859688196,,39581.0,43703.0,9500.0,33491.0,24500.0,0.9231,20.0
77041,galen health institutes houston,9,houston,TX,48,11.0,7092.0,,,0.583057264553,,,,24166.0,60671.0,45000.0,,12.0
41501,galen health institutes pikeville,9,pikeville,KY,21,33.0,5973.0,,,0.583057264553,,34827.0,42163.0,24166.0,60671.0,45000.0,,12.0
60606,stellar career college,12,chicago,IL,17,11.0,,,,0.804597701149,,21507.0,,4834.0,29865.0,20700.0,,15.0
17815,commonwealth university of pennsylvania,4,bloomsburg,PA,42,32.0,10986.0,1093.0,0.9475,0.516775599129,18877.0,,25781.0,26000.0,48117.0,42600.0,0.7437,19.0
15419,pennsylvania western university,4,california,PA,42,32.0,11094.0,1076.0,0.9365,0.359133126935,19352.0,,27618.0,23725.0,43589.0,39800.0,0.7019,17.0
59102,aveda institute montana,12,billings,MT,30,12.0,,,,,,17582.0,,,,,,25.0
18078,lehigh career&technical institute,10,schnecksville,PA,42,41.0,,,,,,,,,,,,25.0
92648,calcopa massage school,12,huntington beach,CA,6,21.0,,,,,,36217.0,,,,,,4.0
24541,medical solutions academy,12,danville,VA,51,32.0,,,,,,,,,,,,10.0
67002,sami halaseh institute,12,andover,KS,20,21.0,,,,,,23501.0,,,,,,6.0
30032,beaver beauty academy,12,decatur,GA,13,21.0,,,,,,11027.0,,,,,,7.0
38701,upper kutz barber&style college,12,greenville,MS,28,33.0,,,,,,22664.0,,,,,,25.0
19977,all wrist barber academy,12,smyrna,DE,10,22.0,,,,,,5154.0,,,,,,25.0
11231,yeshiva of kasho,5,brooklyn,NY,36,11.0,3614.0,,,,,9078.0,19153.0,,,,0.8889,12.0
17603,cutting edge barber academy,12,lancaster,PA,42,13.0,,,,,,20968.0,,,,,,13.0
33334,jts cuts academy,12,fort lauderdale,FL,12,21.0,,,,,,28017.0,,,,,,15.0
91950,nurse academy,12,national city,CA,6,21.0,,,,,,,,,,,,20.0
67002,heartland welding academy,12,andover,KS,20,21.0,,,,,,20694.0,,,,,,16.0
23803,jazz barber and hairstyling academy,12,petersburg,VA,51,21.0,,,,,,9183.0,,,,,,18.0
63703,renaissance beauty academy,12,cape girardeau,MO,29,13.0,,,,,,11600.0,,,,,,14.0
95367,central valley barber college,12,riverbank,CA,6,21.0,,,,,,13611.0,,,,,,11.0
28306,one stop academy,12,fayetteville,NC,37,21.0,,,,,,7321.0,,,,,,20.0
75904,east texas cosmetology college,12,lufkin,TX,48,33.0,,,,,,,,,,,,7.0
11219,yeshivas sanz klauzenburg,5,brooklyn,NY,36,11.0,2204.0,,,,,10556.0,17500.0,,,,1.0,4.0
33172,urbe university,6,sweetwater,FL,12,21.0,,,,,,,,,,,0.8571,4.0
46804,artisan academy of cosmetology,12,fort wayne,IN,18,11.0,,,,,,,,,,,,11.0
17042,champs barber school lebanon,12,lebanon,PA,42,13.0,,,,0.481481481481,,17646.0,,,,,,20.0
75248,collectiv hair dressing academy collectiv academy dallas,12,dallas,TX,48,11.0,,,,,,26884.0,,10540.0,31363.0,,,11.0
92626,homestead schools costa mesa,11,costa mesa,CA,6,12.0,,,,0.84,,,,18040.0,50578.0,,,20.0
8723,innovate salon academy,12,brick township,NJ,34,21.0,,,,0.891089108911,,,,6333.0,,,,33.0
37214,herzing university nashville,8,nashville,TN,47,11.0,7778.0,,0.9118,0.338302172815,,,,21500.0,38007.0,35100.0,,15.0
78154,college of biomedical equipment technology,12,schertz,TX,48,11.0,6093.0,,,,,,,,,,,30.0
49546,dorsey college grand rapids,12,grand rapids,MI,26,21.0,,,,0.506134969325,,,,13000.0,24689.0,22700.0,,11.0
21093,baltimore beauty&barber school ii,12,timonium,MD,24,21.0,,,,0.56862745098,,,,13000.0,18042.0,16800.0,,10.0
75080,galen health institutes dallas,9,richardson,TX,48,12.0,6946.0,,,0.583057264553,,,,24166.0,60671.0,45000.0,,12.0
24018,galen health institutes roanoke,9,roanoke,VA,51,22.0,6274.0,,,0.583057264553,,,,24166.0,60671.0,45000.0,,12.0
67214,galen health institutes wichita,9,wichita,KS,20,11.0,5375.0,,,0.583057264553,,,,24166.0,60671.0,45000.0,,12.0
84020,galen health institutes salt lake city,9,draper,UT,49,21.0,7083.0,,,0.583057264553,,,,24166.0,60671.0,45000.0,,12.0
73159,academy of cosmetology barbering and esthetics,12,oklahoma city,OK,40,11.0,,,,,,,,,13252.0,16800.0,,13.0
85323,aveda institute tucson avondale,12,avondale,AZ,4,21.0,,,,0.825112107623,,19718.0,,6333.0,31894.0,,,14.0
83642,premiere aesthetics institute meridian,12,meridian,ID,16,21.0,,,,,,,,,,,,14.0
34201,arizona college of nursing sarasota,6,university park,FL,12,21.0,7917.0,,1.0,0.586859688196,,,,9500.0,33491.0,24500.0,,20.0
80014,arizona college of nursing aurora,6,aurora,CO,8,11.0,7583.0,,1.0,0.586859688196,,,,9500.0,33491.0,24500.0,,20.0
45249,arizona college of nursing cincinnati,6,cincinnati,OH,39,21.0,,,1.0,0.586859688196,,,,9500.0,33491.0,24500.0,,20.0
44122,arizona college of nursing cleveland,6,beachwood,OH,39,21.0,8333.0,,1.0,0.586859688196,,,,9500.0,33491.0,24500.0,,20.0
91790,glendale career college north west college mfson,9,west covina,CA,6,21.0,,,,0.628726287263,,,,9500.0,39493.0,31100.0,,8.0
77079,denver college of nursing houston,6,houston,TX,48,11.0,7083.0,,,0.858490566038,,,,26500.0,81283.0,,,9.0
32826,gwinnett institute,12,orlando,FL,12,21.0,5533.0,,,0.530973451327,,31423.0,,13000.0,36778.0,21800.0,,14.0
11375,austin medical assistant training,12,forest hills,NY,36,11.0,,,,,,,,,,,,15.0
31707,albany beauty academy,12,albany,GA,13,13.0,,,,,,,,,,,,5.0
73159,wade gordon hairdressing academy oklahoma,12,oklahoma city,OK,40,11.0,,,,0.558139534884,,,,9833.0,21827.0,,,4.0
85040,aviation institute of maintenance phoenix,12,phoenix,AZ,4,11.0,,,,0.5,,,,29773.0,41048.0,35800.0,,
89148,galen health institutes las vegas,9,las vegas,NV,32,21.0,,,,0.583057264553,,,,24166.0,60671.0,45000.0,,
46307,stellar career college crown point,9,crown point,IN,18,21.0,1500.0,,,0.804597701149,,,,4834.0,29865.0,20700.0,,15.0
75602,tulsa welding school dallas campus,12,irving,TX,48,11.0,,,,0.694847605225,,,,9500.0,39602.0,41400.0,,30.0
29210,barber tech academy columbia,12,columbia,SC,45,12.0,,,,0.516129032258,,,,,,,,10.0
36869,troy university phenix city campus,13,phenix city,AL,1,,,,,0.2837922403,,,,25000.0,41914.0,37500.0,,
36103,troy university montgomery campus,13,montgomery,AL,1,,,,,0.2837922403,,,,25000.0,41914.0,37500.0,,
36303,troy university dothan campus,13,dothan,AL,1,,,,,0.2837922403,,,,25000.0,41914.0,37500.0,,
36082,troy university online,13,troy,AL,1,,,,,0.2837922403,,,,25000.0,41914.0,37500.0,,
30009,troy university support sites,13,alpharetta,GA,13,,,,,0.2837922403,,,,25000.0,41914.0,37500.0,,
85306,arizona state university west,13,glendale,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85212,arizona state university polytechnic,13,mesa,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85004,arizona state university downtown phoenix,13,phoenix,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85745,arizona state university  tucson,13,tucson,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
86403,arizona state university  lake havasu,13,lake havasu city,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85552,arizona state university  gila valley,13,thatcher,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85365,arizona state university  yuma,13,yuma,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85128,arizona state university  pinal,13,coolidge,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85635,arizona state university  cochise,13,sierra vista,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
86314,arizona state university  yavapai,13,prescott valley,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85709,arizona state university  pima,13,tucson,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
20006,arizona state university  washington dc,13,washington,DC,11,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85901,arizona state university  northeastern arizona,13,show low,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
85201,arizona state university  mesa city center,13,mesa,AZ,4,,,,,0.492382068561,,,,19500.0,58779.0,48800.0,,
72205,arkansas college of barbering and hair design,15,little rock,AR,5,,,,,0.391304347826,,,,16500.0,20235.0,22400.0,,
38117,harding school of theology,14,memphis,TN,47,,,,,0.586021505376,,,,26500.0,48980.0,42700.0,,
72761,career academy of hair design siloam springs,15,siloam springs,AR,5,,,,,0.552486187845,,,,6365.0,18604.0,,,
72756,career academy of hair design rogers,15,rogers,AR,5,,,,,0.552486187845,,,,6365.0,18604.0,,,
72701,career academy of hair design fayetteville,15,fayetteville,AR,5,,,,,0.552486187845,,,,6365.0,18604.0,,,
72901,career academy of hair design  fort smith,15,fort smith,AR,5,,,,,0.552486187845,,,,6365.0,18604.0,,,
71854,university of arkansas community college hope  texarkana,13,texarkana,AR,5,,,,,,,,,,31614.0,29100.0,,
93727,alliant international university fresno,15,fresno,CA,6,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
91803,alliant international university los angeles,15,alhambra,CA,6,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
94806,alliant international university san francisco bay area,15,emeryville,CA,6,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
92606,alliant international university irvine,15,irvine,CA,6,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
95833,alliant international university sacramento,15,sacramento,CA,6,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
85012,alliant international university  phoenix,15,phoenix,AZ,4,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,
37217,casa loma college  nashville,14,nashville,TN,47,,,,,0.732558139535,,,,26791.0,46598.0,48500.0,,
95131,san jose campus,15,san jose,CA,6,,,,,,,,,,,,,
98101,golden gate university seattle,14,seattle,WA,53,,,,,0.393939393939,,,,29875.0,86645.0,81800.0,,
95054,golden gate university silicon valley,14,santa clara,CA,6,,,,,0.393939393939,,,,29875.0,86645.0,81800.0,,
95368,humphreys college modesto,14,salida,CA,6,,,,,0.348258706468,,,,35500.0,38746.0,31100.0,,
92782,idea atep,13,tustin,CA,6,,,,,0.05753968254,,,,6500.0,43391.0,36300.0,,
