State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
CA,san jose/evergreen community college,"24,322",2.0,0.0,0.0,0.0,2.0,20,7.0,13.0,0.0,3.0
CA,sonoma county junior college,"23,100",4.0,0.0,3.0,0.0,1.0,24,3.0,20.0,1.0,0.0
CA,sonoma state university,"8,173",3.0,0.0,2.0,0.0,1.0,46,6.0,40.0,0.0,0.0
CA,state center community college district,"57,197",3.0,0.0,0.0,0.0,3.0,96,16.0,71.0,9.0,2.0
CA,university of california berkeley,"47,911",74.0,0.0,9.0,14.0,51.0,"1,150",69.0,567.0,514.0,15.0
CA,university of california davis,"42,855",19.0,0.0,8.0,3.0,8.0,853,93.0,606.0,154.0,8.0
CA,university of california irvine,"38,705",9.0,0.0,7.0,0.0,2.0,486,16.0,455.0,15.0,1.0
CA,university of california los angeles,"48,638",78.0,0.0,15.0,10.0,53.0,895,132.0,434.0,329.0,11.0
CA,university of california medical center sacramento,,9.0,0.0,1.0,0.0,8.0,108,5.0,94.0,9.0,3.0
CA,university of california merced,"9,593",6.0,0.0,2.0,0.0,4.0,48,1.0,42.0,5.0,1.0
CA,university of california riverside,"28,930",8.0,0.0,5.0,1.0,2.0,421,30.0,334.0,57.0,0.0
CA,university of california san diego,"44,132",10.0,0.0,2.0,1.0,7.0,890,31.0,438.0,421.0,6.0
CA,university of california san francisco,"3,286",17.0,0.0,1.0,4.0,12.0,316,48.0,211.0,57.0,2.0
CA,university of california santa barbara,"28,256",32.0,0.0,19.0,0.0,13.0,455,23.0,382.0,50.0,4.0
CA,university of california santa cruz,"21,432",7.0,0.0,4.0,0.0,3.0,211,4.0,202.0,5.0,2.0
CA,ventura county community college district,"46,678",4.0,0.0,0.0,1.0,3.0,40,15.0,19.0,6.0,0.0
CA,west valley mission college,"20,535",1.0,0.0,0.0,0.0,1.0,18,5.0,13.0,0.0,0.0
CO,adams state university,"3,833",4.0,0.0,2.0,0.0,2.0,37,3.0,33.0,1.0,0.0
CO,auraria higher education center,,2.0,0.0,2.0,0.0,0.0,56,5.0,44.0,7.0,1.0
CO,colorado school of mines,"7,789",1.0,0.0,0.0,0.0,1.0,96,4.0,89.0,3.0,0.0
CO,colorado state university fort collins,"36,664",13.0,0.0,4.0,4.0,5.0,356,14.0,330.0,12.0,3.0
CO,fort lewis college,"3,983",2.0,0.0,2.0,0.0,0.0,22,3.0,19.0,0.0,0.0
CO,red rocks community college,"9,917",0.0,0.0,0.0,0.0,0.0,11,2.0,6.0,3.0,0.0
CO,university of colorado boulder,"43,746",14.0,0.0,6.0,1.0,7.0,499,52.0,437.0,10.0,11.0
CO,university of colorado colorado springs,"15,264",6.0,0.0,3.0,0.0,3.0,88,2.0,80.0,6.0,0.0
